"tick","Cooperation Rate"
1.0,"22.257142857142856"
2.0,"15.242857142857144"
3.0,"14.085714285714285"
4.0,"12.9"
5.0,"11.885714285714286"
6.0,"12.414285714285715"
7.0,"13.557142857142857"
8.0,"14.22857142857143"
9.0,"14.385714285714284"
10.0,"14.914285714285713"
11.0,"16.157142857142855"
12.0,"16.714285714285715"
13.0,"17.87142857142857"
14.0,"18.099999999999998"
15.0,"18.21428571428571"
16.0,"18.085714285714285"
17.0,"19.228571428571428"
18.0,"20.142857142857142"
19.0,"20.771428571428572"
20.0,"20.57142857142857"
21.0,"20.914285714285715"
22.0,"21.37142857142857"
23.0,"21.52857142857143"
24.0,"22.428571428571427"
25.0,"22.385714285714286"
26.0,"22.085714285714285"
27.0,"21.942857142857143"
28.0,"22.314285714285713"
29.0,"21.942857142857143"
30.0,"22.185714285714287"
31.0,"21.642857142857146"
32.0,"20.914285714285715"
33.0,"20.82857142857143"
34.0,"21.257142857142856"
35.0,"21.557142857142857"
36.0,"21.571428571428573"
37.0,"20.685714285714283"
38.0,"20.17142857142857"
39.0,"20.65714285714286"
40.0,"21.45714285714286"
41.0,"21.52857142857143"
42.0,"21.185714285714287"
43.0,"21.02857142857143"
44.0,"21.9"
45.0,"23.728571428571428"
46.0,"25.185714285714283"
47.0,"26.457142857142856"
48.0,"26.71428571428571"
49.0,"26.71428571428571"
50.0,"27.057142857142857"
51.0,"27.914285714285715"
52.0,"28.15714285714286"
53.0,"28.599999999999998"
54.0,"29.614285714285714"
55.0,"30.47142857142857"
56.0,"30.8"
57.0,"31.414285714285718"
58.0,"30.17142857142857"
59.0,"30.157142857142855"
60.0,"30.028571428571425"
61.0,"29.47142857142857"
62.0,"29.7"
63.0,"30.599999999999998"
64.0,"29.814285714285717"
65.0,"30.17142857142857"
66.0,"30.885714285714283"
67.0,"30.571428571428573"
68.0,"30.38571428571429"
69.0,"30.114285714285714"
70.0,"30.328571428571426"
71.0,"30.342857142857145"
